"Références","Valeur","Empreinte","Qté"
"C1-C9","C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","9"
"C10,C11","C","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","2"
"D1-D8","D","Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal","8"
"J10-J17","Screw_Terminal_01x02","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm","8"
"J18","Screw_Terminal_01x02","TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm","1"
"K1-K8","Relay_SPDT","Relay_THT:Relay_SPDT_Hongfa_JQC-3FF_0XX-1Z","8"
"R1-R5","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","5"
"U1","ESP32-WROOM-32","RF_Module:ESP32-WROOM-32","1"
"U2-U9","ACS712xLCTR-20A","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","8"
"U10","HLK-PM01","Converter_ACDC:Converter_ACDC_Hi-Link_HLK-PMxx","1"
"U11","AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1"
"U12","zmpt101b","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","1"
"U13,U14","ULN2003A","Package_DIP:DIP-16_W7.62mm","2"
